currency,collateral,rate_rule,mechanism,paths,probability_any_liquidation,probability_any_liquidation_ci_low,probability_any_liquidation_ci_high,expected_liquidated_exposure_share,mean_bad_debt_ratio,mean_bad_debt_ci_low,mean_bad_debt_ci_high,bad_debt_var_99,bad_debt_cvar_99,mean_terminal_debt_erosion_all_paths,mean_survivor_weighted_debt_erosion,mean_borrower_net_benefit_after_penalty,mean_terminal_shortfall_share,mean_annual_rate,reserve_breach_5pct,reserve_breach_10pct,reserve_breach_20pct,safe_debt_ceiling_usd_for_10m_reserve
ARS,ETH,static_20,timely,20000,0.6002,0.5934109272,0.6069890728,0.4190566674,0.02768922588,0.0268514689,0.02852698285,0.2700047851,0.2703677256,0.1930973275,0.1130293556,0.06779050313,0,0.2,0.1666,0.0908,0.0364,36986663.18
ARS,ETH,static_20,delayed_stress,20000,0.59575,0.5889486032,0.6025513968,0.4131281674,0.0412171781,0.03975072814,0.04268362807,0.4282746862,0.4305990428,0.1930973275,0.1142459442,0.07566558151,0.001194499998,0.2,0.16035,0.13195,0.08085,23223460.82
ARS,ETH,adaptive_75,timely,20000,0.66295,0.6563986828,0.6695013172,0.4889901668,0.03437072072,0.03342679001,0.03531465143,0.2789576513,0.3025938357,-0.05437707244,-0.02708633134,-0.0828124862,0,0.4818300519,0.21945,0.10965,0.04715,33047599.86
ARS,ETH,adaptive_75,delayed_stress,20000,0.65715,0.6505715223,0.6637284777,0.4811913335,0.05390016313,0.0521702958,0.05563003046,0.4778438883,0.5250707556,-0.05437707244,-0.02757331433,-0.07560585389,0.001729666658,0.4818300519,0.196,0.15855,0.1021,19045052.3
ARS,ETH,indexed_100,timely,20000,0.68275,0.6762998065,0.6892001935,0.5121138333,0.03649603618,0.0355102645,0.03748180787,0.2977028219,0.3268157948,-0.1370340626,-0.06280876077,-0.1224336643,0,0.5604956247,0.23035,0.1152,0.0524,30598276.33
ARS,ETH,indexed_100,delayed_stress,20000,0.677,0.6705190799,0.6834809201,0.503779,0.05838711146,0.05656798937,0.06020623355,0.5088465594,0.5700246374,-0.1370340626,-0.06414415611,-0.115948494,0.001912999996,0.5604956247,0.2106,0.16995,0.1097,17543101.37
ARS,BTC,static_20,timely,20000,0.6798,0.6733339015,0.6862660985,0.4437333352,0.02478158119,0.02405961696,0.02550354542,0.1743116162,0.1748636965,0.1928876994,0.1122604147,0.0628033941,0,0.2,0.1777,0.1324,0,57187399.11
ARS,BTC,static_20,delayed_stress,20000,0.6756,0.6691117688,0.6820882312,0.4359291686,0.0391979887,0.03817198708,0.04022399033,0.239408615,0.2487849544,0.1928876994,0.1136832449,0.06905930231,0.0004470000076,0.2,0.2264,0.1723,0.0753,40195356.77
ARS,BTC,adaptive_75,timely,20000,0.75105,0.7450571754,0.7570428246,0.5342435011,0.03011705075,0.02929993979,0.0309341617,0.2033663327,0.2198950412,-0.05376952228,-0.02505893913,-0.08802247747,0,0.4809417192,0.2012,0.1514,0.01135,45476241.51
ARS,BTC,adaptive_75,delayed_stress,20000,0.74505,0.7390096613,0.7510903387,0.5239365011,0.05534569337,0.05408263225,0.0566087545,0.3249367671,0.3653909334,-0.05376952228,-0.02574075775,-0.08240023453,0.0007509999925,0.4809417192,0.30945,0.21965,0.1226,27367947.82
