currency,collateral,months,mean_monthly_depreciation,sd_monthly_depreciation,mean_monthly_crypto_return,sd_monthly_crypto_return,pearson_correlation,joint_adverse_month_share
ARS,ETH,42,0.03622809435,0.01937729523,0.09319186533,0.2840111108,-0.1046487098,0.4047619048
ARS,BTC,42,0.03622809435,0.01937729523,0.04901410034,0.2134460252,0.003627436005,0.4761904762
TRY,ETH,42,0.03794130574,0.06092230424,0.09319186533,0.2840111108,-0.183069195,0.3571428571
TRY,BTC,42,0.03794130574,0.06092230424,0.04901410034,0.2134460252,-0.2220720459,0.4285714286
