time,PriceUSD
2020-01-01,7170.63186879018
2020-01-02,6946.82526914085
2020-01-03,7315.3093603156
2020-01-04,7343.16419438925
2020-01-05,7345.53069181765
2020-01-06,7765.7977346581
2020-01-07,8136.08684190532
2020-01-08,8059.69952887201
2020-01-09,7817.13609322034
2020-01-10,8129.81791992987
2020-01-11,8032.00549503215
2020-01-12,8164.54999316189
2020-01-13,8121.92566762127
2020-01-14,8830.16787346581
2020-01-15,8811.44820251315
2020-01-16,8718.68699801286
2020-01-17,8912.54190414962
2020-01-18,8928.1807565751
2020-01-19,8687.35483664524
2020-01-20,8636.2587862069
2020-01-21,8730.86756019871
2020-01-22,8647.90047399182
2020-01-23,8366.38461396844
2020-01-24,8423.39095815313
2020-01-25,8344.77456896552
2020-01-26,8573.87480958504
2020-01-27,8901.95928486265
2020-01-28,9297.3883176505
2020-01-29,9311.94754354179
2020-01-30,9508.92096493279
2020-01-31,9357.28478240795
2020-02-01,9381.88602863822
2020-02-02,9339.38706312098
2020-02-03,9279.81252051432
2020-02-04,9161.62719772063
2020-02-05,9628.13677586207
2020-02-06,9739.2804364699
2020-02-07,9800.27939982466
2020-02-08,9911.29340841613
2020-02-09,10151.0832026885
2020-02-10,9872.36187305669
2020-02-11,10272.2225558738
2020-02-12,10360.1352229106
2020-02-13,10235.4973226184
2020-02-14,10361.6156901812
2020-02-15,9911.72432700175
2020-02-16,9952.04661157218
2020-02-17,9683.0796277031
2020-02-18,10195.3037904734
2020-02-19,9636.00229865576
2020-02-20,9614.03012244302
2020-02-21,9701.79750268849
2020-02-22,9675.24905756868
2020-02-23,9972.84242308591
2020-02-24,9648.00788310929
2020-02-25,9344.28714009351
2020-02-26,8798.88894856809
2020-02-27,8779.02948188194
2020-02-28,8750.59344599649
2020-02-29,8582.09029964933
2020-03-01,8541.77389392169
2020-03-02,8906.21475645821
2020-03-03,8768.81061420222
2020-03-04,8756.36957218001
2020-03-05,9062.61580274693
2020-03-06,9147.08505897136
2020-03-07,8898.30695675044
2020-03-08,8109.61454114553
2020-03-09,7896.38531987142
2020-03-10,7909.92787545295
2020-03-11,7939.34133477499
2020-03-12,4959.31341437756
2020-03-13,5627.69238836938
2020-03-14,5145.17250642899
2020-03-15,5358.61066335476
2020-03-16,5012.92738778492
2020-03-17,5416.7547106955
2020-03-18,5392.48783594389
2020-03-19,6203.5516320865
2020-03-20,6174.14947603741
2020-03-21,6175.83102220924
2020-03-22,5830.56097960257
2020-03-23,6486.40865733489
2020-03-24,6775.05761893629
2020-03-25,6689.96901285798
2020-03-26,6754.46033606078
2020-03-27,6490.79541502046
2020-03-28,6231.81989023963
2020-03-29,5904.85758679135
2020-03-30,6436.90570017534
2020-03-31,6432.3832421391
2020-04-01,6643.11000870836
2020-04-02,6792.74222209234
2020-04-03,6751.90255178258
2020-04-04,6859.98916867329
2020-04-05,6790.81247264758
2020-04-06,7298.17374517826
2020-04-07,7187.59333664524
2020-04-08,7372.19476399766
2020-04-09,7299.57918790181
2020-04-10,6859.82267475161
2020-04-11,6883.18222895967
2020-04-12,6978.66628661601
2020-04-13,6863.57553319696
2020-04-14,6875.53850344828
2020-04-15,6625.47577510228
2020-04-16,7127.79228223261
2020-04-17,7081.39519842197
2020-04-18,7262.79234360023
2020-04-19,7150.2442154588
2020-04-20,6853.27341478667
2020-04-21,6870.42369865576
2020-04-22,7123.65691992987
2020-04-23,7488.60516528346
2020-04-24,7506.44331648159
2020-04-25,7537.73820911748
2020-04-26,7684.06852168322
2020-04-27,7777.49151858562
2020-04-28,7769.89969842197
2020-04-29,8761.83716954997
2020-04-30,8652.4109912332
2020-05-01,8855.53525827002
2020-05-02,8977.28170537697
2020-05-03,8896.7956383986
2020-05-04,8881.95430450029
2020-05-05,8985.8795993571
2020-05-06,9266.8130730567
2020-05-07,9993.75317685564
2020-05-08,9859.32360461718
2020-05-09,9577.33892238457
2020-05-10,8715.03329322034
2020-05-11,8591.65288433665
2020-05-12,8817.25068112215
2020-05-13,9322.99720204559
2020-05-14,9801.26948772647
2020-05-15,9326.87585891292
2020-05-16,9395.4753893045
2020-05-17,9682.5324811806
2020-05-18,9726.85002209235
2020-05-19,9754.20146201052
2020-05-20,9515.702550263
2020-05-21,9068.80122933957
2020-05-22,9161.81503389831
2020-05-23,9183.66212507305
2020-05-24,8806.23065715956
2020-05-25,8909.19258153127
