time,PriceUSD
2020-01-01,129.963875336061
2020-01-02,126.730876972531
2020-01-03,133.800767095266
2020-01-04,134.050349210988
2020-01-05,134.982177089421
2020-01-06,143.988824079486
2020-01-07,143.248955698422
2020-01-08,140.872484044418
2020-01-09,137.473664114553
2020-01-10,143.789400935126
2020-01-11,142.846074284044
2020-01-12,145.447126008182
2020-01-13,143.910222209234
2020-01-14,166.047976914085
2020-01-15,165.85377936879
2020-01-16,164.052933255406
2020-01-17,171.034402337814
2020-01-18,175.074978375219
2020-01-19,166.791822443016
2020-01-20,166.927411046172
2020-01-21,169.171668731736
2020-01-22,167.545226271186
2020-01-23,162.156525599065
2020-01-24,162.247590707189
2020-01-25,160.521455172414
2020-01-26,167.159112974868
2020-01-27,169.934313676213
2020-01-28,175.276188486265
2020-01-29,174.676776680304
2020-01-30,184.256748977206
2020-01-31,180.163670368206
2020-02-01,183.562507656341
2020-02-02,188.398108533022
2020-02-03,189.341644067797
2020-02-04,188.276665984804
2020-02-05,205.125087901812
2020-02-06,212.849642723553
2020-02-07,222.863079719462
2020-02-08,223.973379602572
2020-02-09,228.467053126826
2020-02-10,224.139831618936
2020-02-11,237.649539333723
2020-02-12,266.649455289304
2020-02-13,267.940001870251
2020-02-14,284.830649094097
2020-02-15,265.033846464056
2020-02-16,261.128690531853
2020-02-17,266.608233372297
2020-02-18,283.564988310929
2020-02-19,261.077341028638
2020-02-20,258.631871011105
2020-02-21,265.90940414962
2020-02-22,261.763375803624
2020-02-23,274.979647574518
2020-02-24,264.367167504383
2020-02-25,248.53713220339
2020-02-26,225.706557159556
2020-02-27,226.398922033898
2020-02-28,228.673918468732
2020-02-29,220.10229421391
2020-03-01,218.6236685564
2020-03-02,231.194931618936
2020-03-03,224.283570017534
2020-03-04,224.156026826417
2020-03-05,227.813605844535
2020-03-06,244.330236002338
2020-03-07,238.059852600818
2020-03-08,202.765954997078
2020-03-09,200.151101052016
2020-03-10,200.851090531853
2020-03-11,194.236009351257
2020-03-12,110.32820163647
2020-03-13,134.759985680888
2020-03-14,122.078151256575
2020-03-15,123.754734073641
2020-03-16,110.34905873758
2020-03-17,117.783463763881
2020-03-18,117.683343658679
2020-03-19,137.357502980713
2020-03-20,131.532323261251
2020-03-21,132.511633430742
2020-03-22,122.442055523086
2020-03-23,135.589770601987
2020-03-24,139.414792226768
2020-03-25,136.095511981297
2020-03-26,138.608215488019
2020-03-27,133.681614728229
2020-03-28,131.027766510812
2020-03-29,125.178745470485
2020-03-30,132.902320514319
2020-03-31,133.508133372297
2020-04-01,135.85480654588
2020-04-02,141.151746639392
2020-04-03,141.727211279953
2020-04-04,144.336282700175
2020-04-05,142.972632963179
2020-04-06,169.609724313267
2020-04-07,164.21725949737
2020-04-08,173.294784336645
2020-04-09,170.28360490941
2020-04-10,157.550598188194
2020-04-11,158.431649327878
2020-04-12,160.649303331385
2020-04-13,157.198628579778
2020-04-14,159.006158445354
2020-04-15,152.951140736411
2020-04-16,172.970440327294
2020-04-17,172.23222063121
2020-04-18,188.109414903565
