month,ars_per_usd,try_per_usd,eth_usd,btc_usd,ars_depreciation,try_depreciation,eth_return,btc_return
2020-01-01,60.0024921739,5.92583913043,180.163670368,9357.28478241,,,,
2020-02-01,61.39762,6.06259,220.102294214,8582.09029965,0.023251164669,0.0230770472426,0.221679674732,-0.0828439553551
2020-03-01,63.2400513636,6.33575454545,133.508133372,6432.38324214,0.0300081886503,0.04505740046,-0.393426888851,-0.250487583147
2020-04-01,65.707095,6.85031363636,206.884865283,8652.41099123,0.0390107785046,0.0812151239789,0.549604957074,0.345133003667
2020-05-01,67.7045166667,6.93194285714,231.444047458,9433.94384664,0.0303988734651,0.0119161289705,0.11870941908,0.0903254429543
2020-06-01,69.5331754545,6.81627727273,225.722754822,9143.9675853,0.0270094061358,-0.0166858825584,-0.0247199817785,-0.0307375437094
2020-07-01,71.4280382609,6.86516086957,346.179992285,11338.1973408,0.0272512048233,0.00717159746913,0.533651281895,0.239964734676
2020-08-01,73.2864238095,7.26222857143,436.090769433,11678.3482269,0.0260175918855,0.0578380768357,0.259722627395,0.0300004379767
2020-09-01,75.1986304545,7.53394090909,359.976752484,10772.3517668,0.0260922357187,0.0374144568695,-0.174537097055,-0.0775791612376
2020-10-01,77.5606763636,7.91751363636,386.585236119,13807.233611,0.0314107570153,0.0509126275214,0.0739172278535,0.281728810007
2020-11-01,79.9183261905,7.9858047619,613.469492402,19664.4076067,0.030397489261,0.00862532465084,0.586893225826,0.424210537796
2020-12-01,82.6819521739,7.71192173913,739.025849854,29022.6714126,0.0345806289392,-0.0342962332464,0.204666016822,0.475898587598
2021-01-01,85.8864219048,7.3972047619,1317.34636417,33157.8325745,0.0387565804459,-0.040809150802,0.782544364901,0.142480376913
2021-02-01,88.662742,7.08122,1425.38586674,45359.4641642,0.0323254832797,-0.042716779118,0.0820129811793,0.367986404488
2021-03-01,91.0899926087,7.67666956522,1916.88001929,58792.1948276,0.0273762186229,0.0840885560987,0.344814807,0.296139535836
2021-04-01,92.7863581818,8.16326363636,2770.29005821,57741.4444165,0.0186229631219,0.0633860904149,0.445207853563,-0.0178722773342
2021-05-01,94.1214261905,8.35656666667,2699.21445763,37312.974897,0.0143886238755,0.0236796260557,-0.0256563749972,-0.353792145762
2021-06-01,95.2609086364,8.61266363636,2272.26905786,35065.4661534,0.0121065148713,0.0306461947726,-0.158173945223,-0.0602339735671
2021-07-01,96.2250009091,8.58980454545,2544.37537592,41793.3137481,0.0101205445815,-0.00265412558463,0.119750923474,0.191865340256
2021-08-01,97.2072718182,8.47377727273,3431.94775307,47219.2443425,0.0102080633911,-0.0135075567917,0.348837040929,0.129827719024
2021-09-01,98.2824995455,8.54566818182,3001.52751344,43781.5460155,0.0110611861352,0.0084839271528,-0.125415731997,-0.0728029085359
2021-10-01,99.2221428571,9.19318095238,4293.96550701,61432.9700628,0.00956063710258,0.0757708767514,0.430593418779,0.403170414336
2021-11-01,100.318864545,10.6900272727,4645.05362712,57097.0127943,0.0110531949496,0.162821370329,0.0817631440056,-0.0705802969337
2021-12-01,101.921304348,13.5576652174,3686.95179188,46355.1173303,0.0159734643093,0.268253566759,-0.206262814631,-0.188134106117
2022-01-01,103.985238095,13.5348857143,2686.26782934,38462.672403,0.0202502681909,-0.00168019365727,-0.271412271986,-0.170260488633
2022-02-01,106.3645,13.654775,2914.46506487,43179.254514,0.0228807660428,0.00885779815546,0.084949547116,0.122627519524
2022-03-01,109.398913043,14.613926087,3281.78751081,45562.2106666,0.0285284379984,0.0702429067456,0.126034259379,0.0551875241794
2022-04-01,113.304047619,14.7038571429,2729.73245441,37714.0949804,0.0356962831433,0.00615379162078,-0.168217794291,-0.17225054648
2022-05-01,117.850681818,15.6099045455,1947.31703624,31831.4095251,0.0401277297208,0.0616197092909,-0.286627144324,-0.155981085012
2022-06-01,122.758863636,16.9924409091,1041.53905172,19332.9121295,0.0416474622162,0.0885678935198,-0.465141508885,-0.392646683956
2022-07-01,128.452142857,17.453047619,1682.69250409,23356.1722215,0.0463777445647,0.0271065653499,0.615582729525,0.208104193776
2022-08-01,135.269782609,18.0305869565,1551.72922092,20024.671606,0.0530753290674,0.0330910308664,-0.0778295991985,-0.14263898142
2022-09-01,143.4175,18.3137818182,1327.07599562,19435.1946917,0.0602330929656,0.0157063584421,-0.144776048732,-0.0294375321533
2022-10-01,152.262857143,18.5848095238,1571.20387054,20490.8581809,0.0616755775471,0.0147991118557,0.183959227454,0.0543171038898
2022-11-01,162.173863636,18.6089363636,1298.03941964,17176.8986914,0.0650914259688,0.00129820215784,-0.173856783341,-0.161728682138
2022-12-01,172.623409091,18.6573409091,1195.33087931,16524.2178025,0.064434214122,0.00260114519759,-0.0791259023212,-0.0379975978597
2023-01-01,182.244772727,18.7785545455,1584.82108328,23130.0519132,0.0557361466039,0.00649683344235,0.32584300357,0.399766826468
2023-02-01,192.02075,18.84412,1606.66273437,23145.9491277,0.0536420174166,0.00349150699468,0.013781777206,0.000687296965612
2023-03-01,205.18,18.9989478261,1824.00190357,28514.6813063,0.0685303541414,0.00821624072055,0.135273672906,0.231951264946
2023-04-01,216.027,19.33725,1885.55236996,29362.0867975,0.0528657763915,0.0178063636476,0.0337447380256,0.0297182171574
2023-05-01,230.651956522,19.7477434783,1872.94246113,27217.683258,0.0676996695864,0.0212281207649,-0.00668764709278,-0.0730330767783
2023-06-01,248.109090909,23.6965045455,1934.61751549,30484.5032577,0.0756860451158,0.199960115521,0.0329294976402,0.120025645414
2023-07-01,265.580890476,26.4994,1856.18514465,29219.8201888,0.070419828242,0.118283076273,-0.0405415386803,-0.0414860973221
